Genes	Groups	s_stA	s_stB	s_stL	s_stSyn
LPXN	1	0.9906542056074766	0.9955357142857143	0.9714426390940424	0.9916317991631799
ERICH5	1	0.9929906542056075	0.9955357142857143	0.9847365829640571	0.9790794979079498
TTBK2	1	0.9906542056074766	0.9821428571428571	0.9714426390940424	0.9721059972105998
ZKSCAN4	1	0.9789719626168224	0.9732142857142857	0.9886755292959133	0.9888423988842399
C5AR2	1	0.9813084112149533	0.9732142857142857	0.9847365829640571	0.99860529986053
TTC30B	1	0.9976635514018691	0.9955357142857143	0.9960610536681438	0.9721059972105998
LY75	1	0.9742990654205608	0.9910714285714286	0.9960610536681438	0.9860529986052998
TAGAP	1	0.9976635514018691	0.9910714285714286	0.9940915805022157	0.9818688981868898
LRRC25	1	0.9789719626168224	0.9955357142857143	0.9852289512555391	0.9916317991631799
ITK	1	0.9953271028037384	0.9866071428571429	0.999015263417036	0.9832635983263598
CARD6	1	0.9766355140186916	0.9910714285714286	0.9734121122599705	0.9944211994421199
EXOC8	1	0.9976635514018691	0.9821428571428571	0.9724273756770064	0.9762900976290098
ECT2	1	0.9789719626168224	0.9910714285714286	0.9921221073362876	0.9874476987447699
EEF1AKMT3	1	0.9789719626168224	0.9866071428571429	0.9793205317577548	0.9707112970711297
SPC24	1	0.9929906542056075	0.9866071428571429	0.9876907927129492	0.9860529986052998
UBXN10	1	0.9929906542056075	0.9955357142857143	0.999015263417036	0.9804741980474198
CLSPN	1	0.9976635514018691	0.9821428571428571	0.999507631708518	0.99302649930265
HIST1H1E	1	0.9883177570093458	0.9910714285714286	0.999015263417036	0.99860529986053
TEC	1	0.9836448598130841	0.9910714285714286	0.983259478089611	0.9832635983263598
TFAP4	1	0.985981308411215	0.9732142857142857	0.9842442146725751	0.9721059972105998
ITGB7	1	0.9883177570093458	0.9866071428571429	0.9704579025110783	0.99860529986053
CASP1	1	0.9836448598130841	0.9955357142857143	0.9842442146725751	0.99302649930265
SETMAR	1	0.9953271028037384	0.9776785714285714	0.9763663220088626	0.9916317991631799
MLF1	1	0.9906542056074766	0.9732142857142857	0.999015263417036	0.99581589958159
KNTC1	1	0.9883177570093458	0.9866071428571429	0.9852289512555391	0.9860529986052998
HENMT1	1	0.9836448598130841	0.9910714285714286	0.9921221073362876	0.9846582984658299
TBX6	1	0.9813084112149533	0.9821428571428571	0.9985228951255539	0.9846582984658299
IL7R	1	0.9742990654205608	0.9732142857142857	0.9842442146725751	0.99721059972106
KCNJ14	1	0.9906542056074766	0.9866071428571429	0.9945839487936977	0.99302649930265
FAM72A	1	0.9976635514018691	0.9866071428571429	0.9985228951255539	0.99721059972106
FICD	1	0.9953271028037384	0.9955357142857143	0.9935992122107337	0.9776847977684798
ARRDC4	1	0.9883177570093458	0.9866071428571429	0.9891678975873953	0.9735006973500697
ZBTB39	1	0.9906542056074766	0.9866071428571429	0.982767109798129	0.9832635983263598
HPSE	1	0.9906542056074766	0.9910714285714286	0.9970457902511078	0.9888423988842399
PLBD1	1	0.985981308411215	0.9732142857142857	0.9906450024618415	0.9944211994421199
RIOX1	1	0.9906542056074766	0.9910714285714286	0.9773510585918267	0.9735006973500697
NDC80	1	0.9976635514018691	0.9866071428571429	0.999507631708518	0.99721059972106
BTN2A2	1	0.9929906542056075	0.9821428571428571	0.9896602658788775	0.9902370990237099
ADGRG3	1	0.9929906542056075	0.9732142857142857	0.9926144756277696	0.9832635983263598
CST7	1	0.9742990654205608	0.9732142857142857	0.9935992122107337	0.9916317991631799
ANXA3	1	0.9789719626168224	0.9776785714285714	0.9921221073362876	0.9818688981868898
CHEK1	1	0.9906542056074766	0.9776785714285714	0.9980305268340719	0.9818688981868898
AK9	1	0.9883177570093458	0.9955357142857143	0.9975381585425899	0.9735006973500697
ARPIN	2	0.955607476635514	0.9553571428571429	0.9453471196454948	0.9274755927475593
PPIH	2	0.969626168224299	0.9598214285714286	0.9335302806499262	0.9191073919107392
SRF	2	0.9322429906542056	0.9151785714285714	0.9148202855736091	0.9191073919107392
FUT11	2	0.9462616822429907	0.9419642857142857	0.9522402757262433	0.9177126917712691
ZCCHC3	2	0.9392523364485982	0.9419642857142857	0.9281142294436239	0.9288702928870293
CEBPZOS	2	0.9672897196261683	0.9464285714285714	0.9074347612013787	0.9483960948396095
TIMM29	2	0.969626168224299	0.9464285714285714	0.9276218611521418	0.9539748953974896
ZSWIM1	2	0.969626168224299	0.9196428571428571	0.96602658788774	0.9205020920502092
CTBP2	2	0.9018691588785047	0.9196428571428571	0.9591334318069916	0.9651324965132496
TRMT61A	2	0.9345794392523364	0.9241071428571429	0.9167897587395372	0.9609483960948396
NOC4L	2	0.9088785046728972	0.9017857142857143	0.9251600196947316	0.9316596931659693
DDIT3	2	0.9158878504672897	0.9241071428571429	0.913343180699163	0.9149232914923291
DDR2	2	0.9672897196261683	0.9330357142857143	0.9620876415558838	0.9665271966527197
SOX13	2	0.927570093457944	0.96875	0.9118660758247169	0.9609483960948396
EEF2KMT	2	0.9672897196261683	0.96875	0.9217134416543574	0.9595536959553695
EIF2AK2	2	0.9485981308411215	0.9151785714285714	0.9098966026587888	0.9260808926080892
LCP1	2	0.955607476635514	0.9241071428571429	0.9236829148202855	0.9665271966527197
DSG2	2	0.9392523364485982	0.9419642857142857	0.9241752831117676	0.9511854951185496
DNAJC14	2	0.9392523364485982	0.9598214285714286	0.913343180699163	0.9079497907949791
SNAPC2	2	0.9112149532710281	0.9241071428571429	0.9601181683899557	0.9149232914923291
KLHL25	2	0.9626168224299065	0.9598214285714286	0.9630723781388478	0.9665271966527197
PLCD1	2	0.9649532710280374	0.9598214285714286	0.9369768586903003	0.9288702928870293
ISG20L2	2	0.969626168224299	0.9196428571428571	0.9428852781880847	0.905160390516039
NSUN4	2	0.9626168224299065	0.9464285714285714	0.9369768586903003	0.9302649930264993
PCGF1	2	0.9018691588785047	0.9375	0.930576070901034	0.9330543933054394
GLTP	2	0.955607476635514	0.9642857142857143	0.9537173806006893	0.900976290097629
DAB2	2	0.9369158878504673	0.9375	0.9512555391432792	0.9372384937238494
TMEM43	2	0.9485981308411215	0.9151785714285714	0.9231905465288035	0.9609483960948396
PUS1	2	0.955607476635514	0.9642857142857143	0.9158050221565731	0.9093444909344491
FAM149A	2	0.9439252336448598	0.9107142857142857	0.9222058099458394	0.9595536959553695
TBC1D25	2	0.9322429906542056	0.9419642857142857	0.9512555391432792	0.9065550906555091
NFKBIL1	2	0.9252336448598131	0.9330357142857143	0.9202363367799113	0.9260808926080892
SF3B4	2	0.9252336448598131	0.9508928571428571	0.9276218611521418	0.9163179916317992
PPFIBP2	2	0.9322429906542056	0.9375	0.9044805514524865	0.900976290097629
RBM19	2	0.9462616822429907	0.96875	0.9517479074347612	0.9260808926080892
MAPKAPK3	2	0.9205607476635514	0.9642857142857143	0.9419005416051206	0.9623430962343096
CETN2	2	0.9532710280373832	0.9241071428571429	0.9517479074347612	0.9456066945606695
TTI1	2	0.9369158878504673	0.9285714285714286	0.92959133431807	0.9163179916317992
ALKBH4	2	0.9462616822429907	0.9241071428571429	0.9379615952732644	0.9693165969316597
EIF1AD	2	0.9672897196261683	0.9464285714285714	0.9350073855243722	0.9483960948396095
GLA	2	0.9649532710280374	0.9642857142857143	0.9650418513047759	0.9637377963737797
CPT1A	2	0.9018691588785047	0.9151785714285714	0.9000492368291482	0.9511854951185496
UNC119	2	0.9439252336448598	0.90625	0.9118660758247169	0.9079497907949791
TFPT	2	0.9462616822429907	0.9196428571428571	0.9542097488921714	0.9330543933054394
CDK18	2	0.9462616822429907	0.9017857142857143	0.9354997538158543	0.9330543933054394
ORAI1	2	0.9369158878504673	0.9508928571428571	0.9177744953225012	0.900976290097629
ALYREF	2	0.9369158878504673	0.9151785714285714	0.9251600196947316	0.9567642956764295
ADCK2	2	0.9579439252336449	0.9241071428571429	0.9512555391432792	0.9386331938633193
RNF43	2	0.9439252336448598	0.9642857142857143	0.9241752831117676	0.9274755927475593
B3GALT6	2	0.9462616822429907	0.9196428571428571	0.9271294928606598	0.9093444909344491
NEPRO	2	0.9369158878504673	0.9151785714285714	0.9256523879862137	0.9274755927475593
ABCD1	2	0.9532710280373832	0.9330357142857143	0.9123584441161989	0.9065550906555091
ZKSCAN5	2	0.9462616822429907	0.9508928571428571	0.967011324470704	0.9177126917712691
SRRD	2	0.9485981308411215	0.9553571428571429	0.9044805514524865	0.905160390516039
PLA2G6	2	0.9579439252336449	0.90625	0.9576563269325455	0.9205020920502092
MYO5C	2	0.9649532710280374	0.9508928571428571	0.9650418513047759	0.9121338912133892
PHF5A	2	0.9415887850467289	0.9241071428571429	0.9094042343673068	0.9274755927475593
FAM120AOS	2	0.9158878504672897	0.9642857142857143	0.9118660758247169	0.9065550906555091
HIST1H1C	2	0.9158878504672897	0.9642857142857143	0.9030034465780403	0.9414225941422594
RND1	2	0.969626168224299	0.9598214285714286	0.914327917282127	0.9177126917712691
TMEM8B	2	0.9158878504672897	0.9107142857142857	0.967011324470704	0.9330543933054394
PRKD3	2	0.9602803738317757	0.9107142857142857	0.9394387001477105	0.9400278940027894
PHF13	2	0.9649532710280374	0.9598214285714286	0.9286065977351059	0.9497907949790795
FAM174B	2	0.9065420560747663	0.9285714285714286	0.9620876415558838	0.9218967921896792
SDSL	2	0.9252336448598131	0.9642857142857143	0.9074347612013787	0.9679218967921897
CCDC22	2	0.9439252336448598	0.9464285714285714	0.9512555391432792	0.9316596931659693
ZBTB45	2	0.9649532710280374	0.9241071428571429	0.9512555391432792	0.9525801952580195
TLNRD1	2	0.9509345794392523	0.9553571428571429	0.9438700147710487	0.9693165969316597
PHF23	2	0.9065420560747663	0.90625	0.9005416051206302	0.9470013947001394
METTL22	2	0.9649532710280374	0.9285714285714286	0.931068439192516	0.9414225941422594
CCDC97	2	0.9579439252336449	0.9642857142857143	0.9635647464303299	0.9302649930264993
GEMIN8	2	0.9602803738317757	0.9196428571428571	0.9620876415558838	0.9107391910739191
EIF2B2	2	0.9672897196261683	0.9598214285714286	0.9399310684391925	0.9316596931659693
FAM111A	2	0.9626168224299065	0.9241071428571429	0.9276218611521418	0.905160390516039
PRRG2	2	0.9439252336448598	0.9598214285714286	0.9532250123092073	0.9386331938633193
USB1	2	0.9392523364485982	0.96875	0.931560807483998	0.9344490934449093
DENND2D	2	0.9345794392523364	0.9642857142857143	0.9650418513047759	0.9623430962343096
LAT2	2	0.9649532710280374	0.9642857142857143	0.967011324470704	0.9679218967921897
SLC35E3	2	0.969626168224299	0.9196428571428571	0.9276218611521418	0.902370990237099
TRIM13	2	0.9485981308411215	0.90625	0.9384539635647464	0.9456066945606695
MED9	2	0.9626168224299065	0.9464285714285714	0.966518956179222	0.9079497907949791
CCNG2	2	0.9415887850467289	0.9330357142857143	0.9379615952732644	0.9372384937238494
SLC39A6	2	0.9392523364485982	0.9285714285714286	0.948301329394387	0.9065550906555091
PKDCC	2	0.9018691588785047	0.9330357142857143	0.9236829148202855	0.9330543933054394
NLRX1	2	0.9462616822429907	0.9419642857142857	0.9276218611521418	0.9693165969316597
KLHL42	2	0.969626168224299	0.9285714285714286	0.9364844903988183	0.9065550906555091
TMEM185A	2	0.9626168224299065	0.9196428571428571	0.948301329394387	0.9205020920502092
LSM10	2	0.955607476635514	0.9642857142857143	0.9103889709502708	0.9651324965132496
MIF4GD	2	0.9509345794392523	0.9598214285714286	0.9330379123584441	0.9511854951185496
GPATCH3	2	0.9369158878504673	0.9017857142857143	0.9369768586903003	0.9344490934449093
HDDC3	2	0.9509345794392523	0.9642857142857143	0.9153126538650911	0.9679218967921897
APBA3	2	0.9579439252336449	0.9508928571428571	0.9404234367306745	0.9107391910739191
ZNHIT2	2	0.9626168224299065	0.9553571428571429	0.9364844903988183	0.9665271966527197
LRFN3	2	0.9532710280373832	0.9285714285714286	0.948301329394387	0.9288702928870293
RABGGTA	2	0.9369158878504673	0.9107142857142857	0.9025110782865583	0.9037656903765691
TEP1	2	0.9649532710280374	0.9330357142857143	0.9547021171836534	0.9470013947001394
POLM	2	0.9415887850467289	0.9330357142857143	0.9231905465288035	0.9414225941422594
BCL10	2	0.9649532710280374	0.96875	0.9404234367306745	0.9302649930264993
ABHD4	2	0.9322429906542056	0.9553571428571429	0.9458394879369768	0.9344490934449093
DHX34	2	0.9672897196261683	0.9285714285714286	0.9620876415558838	0.9149232914923291
RXRB	3	0.8130841121495327	0.8080357142857143	0.7858197932053176	0.8158995815899581
DRAP1	3	0.8177570093457944	0.7589285714285714	0.7956671590349582	0.8186889818688982
PRMT1	3	0.7616822429906542	0.7678571428571428	0.8311176760216642	0.7726638772663877
PNPLA6	3	0.8855140186915887	0.78125	0.8370260955194485	0.7740585774058577
D2HGDH	3	0.8691588785046729	0.8482142857142857	0.7626784835056623	0.8814504881450488
RFC2	3	0.8668224299065421	0.8660714285714286	0.8956179222058099	0.8926080892608089
ARHGEF40	3	0.8785046728971962	0.8526785714285714	0.8330871491875923	0.8284518828451883
HGSNAT	3	0.8761682242990654	0.8392857142857143	0.8906942392909897	0.7573221757322176
GMPPA	3	0.7897196261682243	0.7767857142857143	0.8207779419005417	0.8814504881450488
BCL6	3	0.8878504672897196	0.875	0.826686361398326	0.8186889818688982
BUD23	3	0.75	0.7767857142857143	0.8045297882816347	0.7656903765690377
ABCF3	3	0.8271028037383178	0.8214285714285714	0.8321024126046282	0.8577405857740585
SEC24C	3	0.883177570093458	0.8616071428571428	0.8581979320531757	0.8396094839609484
LEMD2	3	0.8738317757009346	0.8392857142857143	0.8887247661250616	0.7838214783821478
TMEM127	3	0.7850467289719626	0.78125	0.7710487444608567	0.8089260808926081
MSL1	3	0.897196261682243	0.8482142857142857	0.8252092565238799	0.806136680613668
VARS	3	0.8738317757009346	0.8660714285714286	0.8020679468242246	0.8228730822873083
PAXX	3	0.8738317757009346	0.8214285714285714	0.7813884785819794	0.8410041841004184
FAM234A	3	0.8714953271028038	0.7678571428571428	0.7715411127523387	0.8145048814504882
GNA11	3	0.8341121495327103	0.8660714285714286	0.8389955686853767	0.7698744769874477
DDX49	3	0.8948598130841121	0.8839285714285714	0.8670605612998523	0.8326359832635983
IST1	3	0.8551401869158879	0.7589285714285714	0.8404726735598227	0.7587168758716876
PPIE	3	0.8551401869158879	0.7946428571428572	0.8340718857705564	0.895397489539749
SLC11A2	3	0.8621495327102804	0.8928571428571429	0.7892663712456918	0.7782426778242678
FKBP4	3	0.8411214953271028	0.8571428571428572	0.8517971442639094	0.7810320781032078
NELFCD	3	0.897196261682243	0.8482142857142857	0.7631708517971443	0.8898186889818689
TBRG4	3	0.8901869158878505	0.8214285714285714	0.7813884785819794	0.899581589958159
RIPOR1	3	0.8668224299065421	0.7544642857142857	0.8847858197932054	0.7754532775453278
SLC39A7	3	0.8457943925233645	0.8258928571428572	0.7680945347119645	0.8786610878661087
TMEM9B	3	0.7827102803738317	0.8482142857142857	0.8680452978828164	0.797768479776848
YIF1B	3	0.8668224299065421	0.8392857142857143	0.8833087149187593	0.8898186889818689
ZDHHC9	3	0.8621495327102804	0.8883928571428571	0.8468734613490891	0.8242677824267782
PLEKHJ1	3	0.7897196261682243	0.7857142857142857	0.7602166420482521	0.7852161785216178
COG2	3	0.8341121495327103	0.8035714285714286	0.8897095027080256	0.7894002789400278
DGCR8	3	0.8785046728971962	0.7678571428571428	0.8335795174790743	0.7754532775453278
DDX23	3	0.8014018691588785	0.8482142857142857	0.8468734613490891	0.7615062761506276
NCAPH2	3	0.8574766355140186	0.8214285714285714	0.8719842442146726	0.8354253835425384
RBM42	3	0.8574766355140186	0.875	0.8084687346134909	0.803347280334728
MAGED2	3	0.8621495327102804	0.8392857142857143	0.8079763663220089	0.899581589958159
BCL7C	3	0.8481308411214954	0.7633928571428572	0.7651403249630724	0.793584379358438
CALU	3	0.8948598130841121	0.8348214285714286	0.7887740029542097	0.8410041841004184
TBC1D17	3	0.8855140186915887	0.84375	0.7961595273264401	0.8591352859135286
TCEA2	3	0.897196261682243	0.8794642857142857	0.8365337272279665	0.8661087866108786
NOSIP	3	0.8107476635514019	0.7901785714285714	0.7853274249138356	0.8647140864714087
PQBP1	3	0.8271028037383178	0.7544642857142857	0.7641555883801083	0.891213389121339
ULK1	3	0.8341121495327103	0.8705357142857143	0.8557360905957656	0.8437935843793585
TNPO2	3	0.8574766355140186	0.8214285714285714	0.8749384539635647	0.7740585774058577
PEF1	3	0.8364485981308412	0.8883928571428571	0.8350566223535204	0.8967921896792189
PRCC	3	0.8434579439252337	0.8794642857142857	0.8567208271787297	0.7601115760111576
TSR3	3	0.8247663551401869	0.8169642857142857	0.7858197932053176	0.7740585774058577
RTKN	3	0.8948598130841121	0.8616071428571428	0.7912358444116199	0.7768479776847977
PTGES2	3	0.8481308411214954	0.8080357142857143	0.8404726735598227	0.8800557880055788
EMG1	3	0.8621495327102804	0.8839285714285714	0.8936484490398818	0.8633193863319386
AP5Z1	3	0.883177570093458	0.8392857142857143	0.8872476612506155	0.8577405857740585
HPS1	3	0.8901869158878505	0.8571428571428572	0.794682422451994	0.7907949790794979
CXXC1	3	0.8341121495327103	0.7767857142857143	0.8680452978828164	0.7782426778242678
COMMD7	3	0.8387850467289719	0.8883928571428571	0.8079763663220089	0.8368200836820083
MOV10	3	0.8504672897196262	0.7901785714285714	0.7818808468734614	0.8312412831241283
SYNE2	3	0.8014018691588785	0.8169642857142857	0.8729689807976366	0.8298465829846583
ATP13A1	3	0.8551401869158879	0.8125	0.8655834564254062	0.8270571827057183
CORO1B	3	0.822429906542056	0.8080357142857143	0.8035450516986706	0.8521617852161785
ELK1	3	0.8668224299065421	0.8125	0.8330871491875923	0.895397489539749
TRIM26	3	0.8551401869158879	0.8526785714285714	0.7685869030034466	0.8493723849372385
SNAPC4	3	0.883177570093458	0.7857142857142857	0.879862136878385	0.793584379358438
JUN	3	0.8504672897196262	0.7991071428571428	0.8709995076317085	0.8507670850767085
SRM	3	0.8107476635514019	0.78125	0.8453963564746431	0.895397489539749
SNRPA	3	0.8621495327102804	0.8392857142857143	0.8828163466272771	0.810320781032078
HSPBP1	3	0.8785046728971962	0.8839285714285714	0.8655834564254062	0.7642956764295676
PIGQ	3	0.8995327102803738	0.8794642857142857	0.8168389955686854	0.7768479776847977
COMTD1	3	0.8014018691588785	0.8169642857142857	0.8045297882816347	0.8926080892608089
MIIP	3	0.8504672897196262	0.8125	0.8887247661250616	0.8368200836820083
TSSC4	3	0.8060747663551402	0.8482142857142857	0.8734613490891187	0.810320781032078
EGLN2	3	0.8037383177570093	0.7544642857142857	0.8035450516986706	0.8730822873082287
FOXP4	3	0.8387850467289719	0.7678571428571428	0.8641063515509602	0.8688981868898187
SEC13	3	0.8574766355140186	0.8794642857142857	0.7671097981290005	0.8940027894002789
MCOLN1	3	0.8341121495327103	0.8839285714285714	0.8759231905465288	0.8521617852161785
ANKZF1	3	0.8925233644859814	0.8348214285714286	0.8823239783357952	0.7907949790794979
ELOF1	3	0.8948598130841121	0.8303571428571428	0.8133924175283112	0.8898186889818689
FZR1	3	0.8341121495327103	0.7857142857142857	0.8069916297390448	0.899581589958159
HMG20B	3	0.8317757009345794	0.75	0.774495322501231	0.804741980474198
SAMHD1	3	0.8294392523364487	0.8526785714285714	0.826686361398326	0.8675034867503486
UBXN1	3	0.8154205607476636	0.8080357142857143	0.7503692762186115	0.792189679218968
TUBGCP2	3	0.7780373831775701	0.7723214285714286	0.7804037419990153	0.7796373779637378
BCAT2	3	0.8598130841121495	0.8705357142857143	0.8769079271294928	0.8577405857740585
WDR18	3	0.8644859813084113	0.8303571428571428	0.809945839487937	0.810320781032078
NOMO1	3	0.8551401869158879	0.8392857142857143	0.8774002954209749	0.8563458856345886
NT5C	3	0.8481308411214954	0.8258928571428572	0.7774495322501231	0.7824267782426778
MBD6	3	0.8925233644859814	0.8482142857142857	0.7616937469226982	0.7573221757322176
ACLY	3	0.8901869158878505	0.8571428571428572	0.8985721319547021	0.7670850767085077
MRPS12	3	0.8714953271028038	0.8705357142857143	0.8094534711964549	0.7642956764295676
IFNGR2	3	0.7616822429906542	0.8616071428571428	0.7907434761201378	0.799163179916318
ZCCHC24	3	0.8130841121495327	0.78125	0.7631708517971443	0.8884239888423989
ABCB8	3	0.8948598130841121	0.8214285714285714	0.8257016248153619	0.800557880055788
MUL1	3	0.8878504672897196	0.8660714285714286	0.8872476612506155	0.8507670850767085
WARS	3	0.8154205607476636	0.7901785714285714	0.8207779419005417	0.8158995815899581
NELFE	3	0.7990654205607477	0.8080357142857143	0.8133924175283112	0.8521617852161785
POLR2G	3	0.7967289719626168	0.8035714285714286	0.8197932053175776	0.796373779637378
TELO2	3	0.8785046728971962	0.8303571428571428	0.8744460856720827	0.8186889818688982
GTF2F1	3	0.794392523364486	0.7678571428571428	0.897095027080256	0.8019525801952581
MAF1	3	0.764018691588785	0.7589285714285714	0.7612013786312162	0.8521617852161785
WDR13	4	0.7102803738317758	0.6473214285714286	0.6469719350073855	0.7140864714086471
STUB1	4	0.7102803738317758	0.6294642857142857	0.6410635155096012	0.5690376569037656
PRDX1	4	0.558411214953271	0.59375	0.14377154111275237	0.6596931659693166
RHOA	4	0.6214953271028038	0.625	0.23879862136878383	0.5885634588563459
NDUFB10	4	0.6892523364485981	0.6116071428571428	0.3978335795174791	0.705718270571827
CTSB	4	0.6518691588785046	0.4955357142857143	0.05022156573116687	0.5913528591352859
EIF1	4	0.677570093457944	0.6919642857142857	0.1088133924175283	0.4086471408647141
EEF1A1	4	0.3317757009345794	0.1473214285714286	0.003446578040374182	0.3709902370990237
PPIA	4	0.6495327102803738	0.6428571428571428	0.1782373215164943	0.3584379358437936
MAT2A	4	0.7149532710280374	0.7142857142857143	0.7188577055637617	0.3654114365411436
CST3	4	0.19626168224299068	0.0401785714285714	0.007877892663712416	0.2900976290097629
PTMA	4	0.6098130841121495	0.5178571428571428	0.2698178237321517	0.4518828451882845
ENO1	4	0.235981308411215	0.2053571428571429	0.24913835548990648	0.610878661087866
DNM2	4	0.7219626168224299	0.7232142857142857	0.6986706056129985	0.34170153417015336
SSU72	4	0.647196261682243	0.6339285714285714	0.552437223042836	0.6499302649930265
NCL	4	0.7289719626168225	0.6919642857142857	0.5445593303791236	0.5104602510460251
NDUFA10	4	0.6682242990654206	0.6607142857142857	0.5184638109305761	0.5564853556485356
PLEC	4	0.3457943925233645	0.15625	0.5534219596258001	0.5467224546722455
CALR	4	0.33644859813084116	0.1383928571428571	0.23682914820285572	0.42677824267782427
FTH1	4	0.1869158878504673	0.1205357142857143	0.01624815361890697	0.21617852161785212
GRINA	4	0.6799065420560748	0.5580357142857143	0.3870014771048744	0.403068340306834
PSMB1	4	0.6378504672897196	0.71875	0.39143279172821266	0.6778242677824268
TMSB4X	4	0.3621495327102804	0.46875	0.21319547021171836	0.2719665271966527
